endpoint_url,method,status,response_time_in_milliseconds,client,request_on
/rest/V1/categorylist/42,POST,403,49,NA,Invalid Date
/,POST,401,137,abcd,Invalid Date
/rest/V1/categorylist/42,POST,200,1979,abcd,Invalid Date
/rest/V1/categorylist/42,POST,401,64,NA,Invalid Date
/rest/V1/categorylist/42,POST,200,1869,abcd,Invalid Date
/rest/V1/categorylist/42,POST,403,39,NA,Invalid Date
/rest/V1/categorylist/42,POST,403,47,NA,Invalid Date
/rest/V1/categorylist/42,POST,200,1854,abcd,Invalid Date
/rest/V1/categorylist/4,POST,500,1436,abcd,Invalid Date
/rest/V1/categorylist/42,POST,200,1915,abcd,Invalid Date
