endpoint_url,method,status,response_time_in_milliseconds,client,request_on,target_status_code,proxy_status_code
/rest/V1/categorylist/42,POST,403,46,NA,Invalid Date,,403
/rest/V1/categorylist/42,POST,403,48,NA,Invalid Date,,403
/,POST,401,131,abcd,Invalid Date,,401
/rest/V1/categorylist/42,POST,200,1561,abcd,Invalid Date,200,
/rest/V1/categorylist/42,POST,200,1835,abcd,Invalid Date,200,
/rest/V1/categorylist/4,POST,404,196,abcd,Invalid Date,,404
/rest/V1/categorylist/42,POST,200,2517,abcd,Invalid Date,200,
/,POST,404,222,abcd,Invalid Date,,404
/rest/V1/categorylist/42,POST,200,1719,abcd,Invalid Date,200,
/rest/V1/categorylist/42,POST,403,37,NA,Invalid Date,,403
